id,sentiment,kfold,lr_svd_pred
2151_10,1,0,0.73
2455_2,0,0,0.54
4359_10,1,0,0.29
6_1,0,0,0.35
8236_7,1,0,0.7
6867_1,0,0,0.27
11576_1,0,0,0.29
5496_9,1,0,0.62
9059_7,1,0,0.56
9230_8,1,0,0.63
6945_3,0,0,0.43
3568_7,1,0,0.8
5260_1,0,0,0.43
1121_4,0,0,0.34
8529_4,0,0,0.34
12088_2,0,0,0.29
12437_1,0,0,0.61
1563_1,0,0,0.42
5005_1,0,0,0.51
11873_8,1,0,0.81
7567_10,1,0,0.77
7459_10,1,0,0.24
10268_9,1,0,0.6
5128_4,0,0,0.61
8251_10,1,0,0.58
4757_8,1,0,0.44
5758_10,1,0,0.86
11622_10,1,0,0.47
3637_1,0,0,0.32
9356_3,0,0,0.67
6569_7,1,0,0.63
8775_9,1,0,0.83
1316_9,1,0,0.17
11778_3,0,0,0.41
5538_7,1,0,0.57
8094_2,0,0,0.35
1598_8,1,0,0.57
11189_1,0,0,0.69
10171_3,0,0,0.49
11838_1,0,0,0.64
5677_10,1,0,0.62
2570_3,0,0,0.19
9083_1,0,0,0.42
8177_3,0,0,0.53
902_4,0,0,0.48
4909_1,0,0,0.55
11553_9,1,0,0.48
1127_10,1,0,0.64
6373_10,1,0,0.72
2779_7,1,0,0.56
5505_10,1,0,0.66
1747_2,0,0,0.52
9688_9,1,0,0.58
722_7,1,0,0.7
11640_4,0,0,0.13
3497_3,0,0,0.39
8421_4,0,0,0.6
2715_3,0,0,0.58
9169_8,1,0,0.56
208_9,1,0,0.65
4241_2,0,0,0.4
9282_8,1,0,0.57
12141_3,0,0,0.1
10010_7,1,0,0.73
3236_7,1,0,0.65
6646_10,1,0,0.76
4979_10,1,0,0.45
7418_8,1,0,0.84
7882_7,1,0,0.59
2365_3,0,0,0.2
6586_2,0,0,0.39
7336_2,0,0,0.39
11260_4,0,0,0.5
3986_10,1,0,0.57
11241_1,0,0,0.15
4362_7,1,0,0.58
11087_4,0,0,0.72
2974_1,0,0,0.25
291_10,1,0,0.37
9405_10,1,0,0.46
10868_8,1,0,0.73
4012_4,0,0,0.47
7382_8,1,0,0.3
7471_1,0,0,0.36
7489_1,0,0,0.5
3029_8,1,0,0.48
9835_3,0,0,0.55
8882_4,0,0,0.55
8766_1,0,0,0.2
10588_1,0,0,0.53
1125_8,1,0,0.75
9398_4,0,0,0.47
8112_9,1,0,0.74
8844_10,1,0,0.37
6372_2,0,0,0.42
11408_1,0,0,0.39
208_1,0,0,0.17
3446_1,0,0,0.24
11906_7,1,0,0.65
11862_2,0,0,0.18
11539_9,1,0,0.73
5931_7,1,0,0.72
12308_3,0,0,0.63
5501_1,0,0,0.46
1300_1,0,0,0.5
10605_7,1,0,0.79
3507_7,1,0,0.79
8674_2,0,0,0.34
4829_2,0,0,0.54
6040_1,0,0,0.31
12268_7,1,0,0.28
5938_2,0,0,0.35
7310_1,0,0,0.19
11395_8,1,0,0.76
4313_9,1,0,0.45
6128_7,1,0,0.32
5941_1,0,0,0.29
3996_9,1,0,0.57
9704_10,1,0,0.56
4562_1,0,0,0.43
4194_3,0,0,0.39
10070_9,1,0,0.48
4142_1,0,0,0.35
11467_10,1,0,0.6
882_8,1,0,0.68
10599_2,0,0,0.34
9156_1,0,0,0.22
8292_4,0,0,0.57
1583_1,0,0,0.24
59_7,1,0,0.6
11053_10,1,0,0.65
4086_7,1,0,0.31
2772_1,0,0,0.42
3195_3,0,0,0.23
1038_2,0,0,0.36
9665_2,0,0,0.31
10627_10,1,0,0.46
331_1,0,0,0.28
10694_7,1,0,0.66
5068_4,0,0,0.54
2208_7,1,0,0.35
10860_4,0,0,0.28
7338_7,1,0,0.77
9230_1,0,0,0.41
6387_8,1,0,0.66
12040_4,0,0,0.37
1578_1,0,0,0.4
6300_4,0,0,0.35
16_7,1,0,0.59
1321_10,1,0,0.49
10166_7,1,0,0.32
5118_10,1,0,0.53
6875_10,1,0,0.52
8621_10,1,0,0.66
93_10,1,0,0.68
12409_1,0,0,0.22
9309_9,1,0,0.49
2376_4,0,0,0.71
5838_8,1,0,0.46
11627_1,0,0,0.41
12238_3,0,0,0.27
11597_10,1,0,0.75
11695_9,1,0,0.4
9518_10,1,0,0.69
7488_1,0,0,0.41
387_8,1,0,0.57
9902_7,1,0,0.3
4228_1,0,0,0.09
4298_10,1,0,0.77
5918_9,1,0,0.53
7008_2,0,0,0.49
2104_7,1,0,0.62
11518_8,1,0,0.58
1657_9,1,0,0.5
6090_2,0,0,0.21
2927_1,0,0,0.42
12155_1,0,0,0.22
11452_1,0,0,0.32
8501_8,1,0,0.67
5096_7,1,0,0.77
7039_7,1,0,0.49
3714_10,1,0,0.65
5624_3,0,0,0.81
4449_4,0,0,0.39
2634_7,1,0,0.75
5582_3,0,0,0.58
11188_1,0,0,0.27
1213_1,0,0,0.44
1676_4,0,0,0.57
8277_10,1,0,0.42
7534_10,1,0,0.69
2954_1,0,0,0.27
2847_8,1,0,0.8
150_8,1,0,0.75
5344_3,0,0,0.48
524_10,1,0,0.78
10429_1,0,0,0.57
4034_9,1,0,0.69
6634_10,1,0,0.6
2213_1,0,0,0.25
7002_1,0,0,0.38
4702_8,1,0,0.51
5462_8,1,0,0.49
8295_7,1,0,0.73
8530_9,1,0,0.8
5367_3,0,0,0.6
12191_4,0,0,0.5
1178_2,0,0,0.18
5724_2,0,0,0.29
10299_4,0,0,0.37
1085_7,1,0,0.55
8225_8,1,0,0.7
1095_3,0,0,0.43
10926_4,0,0,0.42
11991_10,1,0,0.68
5874_1,0,0,0.33
6927_2,0,0,0.29
10225_9,1,0,0.54
10484_8,1,0,0.25
3861_10,1,0,0.71
10749_8,1,0,0.73
8664_8,1,0,0.8
1495_1,0,0,0.28
6068_4,0,0,0.5
2024_9,1,0,0.73
8887_9,1,0,0.4
2463_4,0,0,0.76
10363_9,1,0,0.34
2729_4,0,0,0.52
4131_1,0,0,0.25
2392_8,1,0,0.46
1959_7,1,0,0.35
9795_1,0,0,0.6
4651_3,0,0,0.45
8822_3,0,0,0.24
6675_8,1,0,0.52
11981_4,0,0,0.28
7826_4,0,0,0.42
3424_1,0,0,0.27
10961_9,1,0,0.71
914_8,1,0,0.75
2586_2,0,0,0.54
7944_9,1,0,0.59
5895_10,1,0,0.7
3995_1,0,0,0.51
5498_3,0,0,0.68
12220_8,1,0,0.63
5130_10,1,0,0.24
6258_8,1,0,0.3
3675_2,0,0,0.3
10212_1,0,0,0.24
8943_7,1,0,0.61
771_7,1,0,0.24
1215_10,1,0,0.74
11050_8,1,0,0.56
7412_3,0,0,0.38
4900_2,0,0,0.31
11325_4,0,0,0.65
786_3,0,0,0.46
8740_1,0,0,0.51
9359_8,1,0,0.56
5040_3,0,0,0.43
3191_1,0,0,0.28
2100_3,0,0,0.61
5111_10,1,0,0.7
12336_3,0,0,0.47
4342_1,0,0,0.27
8141_10,1,0,0.72
4963_10,1,0,0.56
12179_2,0,0,0.31
9425_1,0,0,0.32
2172_2,0,0,0.28
2182_9,1,0,0.54
9676_10,1,0,0.79
9812_2,0,0,0.25
764_10,1,0,0.63
10670_3,0,0,0.39
2350_9,1,0,0.72
8946_1,0,0,0.54
12124_8,1,0,0.65
6463_8,1,0,0.71
3912_3,0,0,0.46
3361_7,1,0,0.68
7365_7,1,0,0.52
10550_8,1,0,0.58
3_10,1,0,0.48
4819_1,0,0,0.12
5495_3,0,0,0.71
2818_4,0,0,0.6
7630_1,0,0,0.39
12074_1,0,0,0.22
8377_8,1,0,0.36
3314_10,1,0,0.91
3010_8,1,0,0.69
4652_9,1,0,0.51
11296_8,1,0,0.51
1383_3,0,0,0.63
8363_8,1,0,0.77
4605_2,0,0,0.59
5691_8,1,0,0.69
504_3,0,0,0.39
11062_2,0,0,0.21
7950_3,0,0,0.18
3150_1,0,0,0.32
12133_3,0,0,0.43
10548_3,0,0,0.24
10305_8,1,0,0.38
9797_7,1,0,0.52
7575_10,1,0,0.75
3652_10,1,0,0.67
1132_4,0,0,0.5
1042_10,1,0,0.9
5562_10,1,0,0.64
5635_7,1,0,0.59
9778_8,1,0,0.6
232_10,1,0,0.66
1100_3,0,0,0.67
11595_10,1,0,0.58
420_4,0,0,0.45
308_1,0,0,0.21
1784_1,0,0,0.37
8356_4,0,0,0.42
6053_10,1,0,0.75
6616_1,0,0,0.48
8442_9,1,0,0.81
9490_1,0,0,0.15
5335_10,1,0,0.76
7792_10,1,0,0.58
8645_8,1,0,0.65
4945_4,0,0,0.44
10497_4,0,0,0.24
7795_9,1,0,0.69
11417_7,1,0,0.66
1603_9,1,0,0.75
4355_10,1,0,0.58
1112_1,0,0,0.32
4446_3,0,0,0.33
3584_10,1,0,0.69
680_1,0,0,0.3
10997_10,1,0,0.76
5876_1,0,0,0.28
1532_1,0,0,0.16
11001_1,0,0,0.38
9117_1,0,0,0.28
10057_9,1,0,0.47
3987_7,1,0,0.66
8472_10,1,0,0.59
10808_10,1,0,0.55
11298_3,0,0,0.55
6168_2,0,0,0.27
1545_3,0,0,0.48
6556_3,0,0,0.34
9826_1,0,0,0.44
5173_3,0,0,0.3
3720_2,0,0,0.39
3001_10,1,0,0.76
6435_3,0,0,0.5
9556_10,1,0,0.72
8293_4,0,0,0.68
11069_10,1,0,0.4
915_10,1,0,0.67
739_1,0,0,0.31
12261_4,0,0,0.44
4879_3,0,0,0.22
10918_1,0,0,0.44
2016_7,1,0,0.72
12022_2,0,0,0.4
1050_4,0,0,0.66
3513_4,0,0,0.35
11257_7,1,0,0.48
732_1,0,0,0.24
9005_8,1,0,0.68
7625_1,0,0,0.62
9648_8,1,0,0.62
9015_4,0,0,0.41
1349_3,0,0,0.42
10914_8,1,0,0.42
3527_7,1,0,0.48
12235_2,0,0,0.58
3108_8,1,0,0.53
6770_1,0,0,0.43
3573_7,1,0,0.56
8074_4,0,0,0.3
7347_1,0,0,0.72
769_1,0,0,0.23
8696_1,0,0,0.36
9997_7,1,0,0.54
3054_7,1,0,0.62
2842_4,0,0,0.64
87_4,0,0,0.4
2334_2,0,0,0.41
53_10,1,0,0.7
8423_8,1,0,0.57
4808_3,0,0,0.4
2851_10,1,0,0.68
7955_10,1,0,0.65
1022_1,0,0,0.34
6825_4,0,0,0.29
8315_3,0,0,0.4
12257_3,0,0,0.28
6440_8,1,0,0.49
1361_4,0,0,0.57
6740_2,0,0,0.77
4797_4,0,0,0.52
12203_10,1,0,0.82
1837_10,1,0,0.4
2509_4,0,0,0.65
1638_3,0,0,0.22
1261_2,0,0,0.72
2726_9,1,0,0.61
2872_1,0,0,0.29
398_10,1,0,0.77
8151_10,1,0,0.62
5089_9,1,0,0.73
9592_8,1,0,0.52
5618_4,0,0,0.5
5670_1,0,0,0.37
7195_2,0,0,0.69
2984_4,0,0,0.3
7951_10,1,0,0.65
8357_3,0,0,0.57
2629_9,1,0,0.56
9102_8,1,0,0.75
3556_1,0,0,0.48
7350_3,0,0,0.54
11187_9,1,0,0.63
5755_1,0,0,0.38
7200_9,1,0,0.69
6791_10,1,0,0.57
6940_10,1,0,0.81
9816_4,0,0,0.34
11754_7,1,0,0.77
7279_9,1,0,0.75
11096_3,0,0,0.26
11574_10,1,0,0.65
6314_2,0,0,0.59
11080_10,1,0,0.65
5143_1,0,0,0.26
1418_4,0,0,0.42
7250_8,1,0,0.51
2530_8,1,0,0.8
8295_4,0,0,0.45
12295_3,0,0,0.5
11611_9,1,0,0.73
6611_7,1,0,0.45
10433_4,0,0,0.49
2255_4,0,0,0.44
517_10,1,0,0.81
5449_8,1,0,0.63
1734_2,0,0,0.37
6721_3,0,0,0.41
10635_1,0,0,0.27
414_10,1,0,0.63
1201_2,0,0,0.58
11199_1,0,0,0.27
3970_7,1,0,0.75
1516_7,1,0,0.65
37_9,1,0,0.31
5795_10,1,0,0.66
6890_4,0,0,0.31
3957_10,1,0,0.84
5744_7,1,0,0.69
3038_4,0,0,0.47
5673_9,1,0,0.68
6986_8,1,0,0.49
3732_4,0,0,0.76
6852_8,1,0,0.58
9478_8,1,0,0.5
4489_1,0,0,0.26
11667_9,1,0,0.77
4749_3,0,0,0.5
9611_3,0,0,0.41
11387_8,1,0,0.79
6952_1,0,0,0.37
8645_1,0,0,0.34
9873_7,1,0,0.61
9516_4,0,0,0.74
5119_10,1,0,0.55
298_8,1,0,0.55
6297_1,0,0,0.61
1690_1,0,0,0.23
11199_9,1,0,0.45
9616_1,0,0,0.39
1645_9,1,0,0.45
3198_3,0,0,0.28
615_1,0,0,0.41
2332_1,0,0,0.48
1286_8,1,0,0.74
10169_7,1,0,0.54
9676_1,0,0,0.4
11917_8,1,0,0.69
1773_3,0,0,0.4
9172_1,0,0,0.22
7082_8,1,0,0.44
2464_10,1,0,0.4
6456_1,0,0,0.17
10019_8,1,0,0.52
510_8,1,0,0.73
4614_4,0,0,0.36
360_4,0,0,0.43
6830_10,1,0,0.55
1174_4,0,0,0.73
